`num`|`trackPopularity`|`albumName`|`albumID`|`albumTotalTracks`|`trackExplicit`|`trackName`|`added_at`|`albumReleaseDate`|`trackDurationMS`|`trackID`|`albumType`|`albumReleaseDatePrecision`|`added_by`
25|15|`Problems`|`7wAcUPRc7wBr6bj0TJc41v`|1|False|`Problems`|`2017-03-07T15:07:39Z`|`2017-02-15`|262198|`0xXwZiGuDLLaFRlpQrJIJ4`|`single`|`day`|`nghokui`
26|46|`FUTURE`|`4YtTX4GPvBvewbJvBfXCS2`|17|True|`Mask Off`|`2017-04-06T13:40:39Z`|`2017-08-04`|204600|`3rOSwuTsUlJp0Pu0MkN8r8`|`album`|`day`|`nghokui`
27|1|`HUMBLE.`|`745wm87LGZxRYeyGM0z96J`|1|True|`HUMBLE.`|`2017-04-04T13:49:45Z`|`2017-03-31`|177604|`31c9IHwCIONmUYW0jL7Riz`|`single`|`day`|`nghokui`
28|77|`Symphony (feat. Zara Larsson)`|`4b13SJlne61y53KSEwuQtD`|1|False|`Symphony (feat. Zara Larsson)`|`2017-04-07T02:59:21Z`|`2017-03-16`|212459|`1x5sYLZiu9r5E43kMlt9f8`|`single`|`day`|`nghokui`
29|74|`Clarity`|`7juWTdmjo0vYywWu8HiQxs`|10|False|`Clarity`|`2017-04-07T20:01:41Z`|`2012-01-01`|271426|`60wwxj6Dd9NJlirf84wr2c`|`album`|`day`|`nghokui`
30|50|`True Colors`|`4jKdXIJckKh7la6xHuKwRT`|11|False|`Done With Love`|`2017-04-07T20:01:46Z`|`2015-05-18`|296280|`0qlAureWHln3vDCsqnkyRE`|`album`|`day`|`nghokui`
31|69|`First Time`|`6wu7tiTr8zchRG7PWwTOK1`|1|False|`First Time`|`2017-04-28T12:58:17Z`|`2017-04-28`|193511|`2Gl0FzuLxflY6nPifJp5Dr`|`single`|`day`|`nghokui`
32|7|`The Cure`|`7Bh5oQckPzHqO7GHVGY5LE`|1|False|`The Cure`|`2017-05-01T13:37:56Z`|`2017-04-16`|211363|`51PIvodunv6NmX5250zxAh`|`single`|`day`|`nghokui`
33|51|`Told You So`|`3NyMsz6wskaV27FyP1V1oC`|1|False|`Told You So`|`2017-05-05T13:26:16Z`|`2017-05-03`|188946|`6MQJ0SPApUWxHYQShpZlZb`|`single`|`day`|`nghokui`
34|36|`Heaven`|`4uW1k82xzDR3FRvXdsoN2z`|1|False|`Heaven`|`2017-05-05T13:38:04Z`|`2017-05-01`|254358|`1WasQIPpSRf6osP8UgYfim`|`single`|`day`|`nghokui`
35|58|`HOWSLA`|`5ToqIs21reKgXrcudt1tYW`|12|False|`Chicken Soup`|`2017-05-05T13:43:33Z`|`2017-05-05`|207292|`7hU38LHqMSPFrvoqADFJp4`|`compilation`|`day`|`nghokui`
36|3|`Hunter`|`1RgIfPUFDj361Z6bGhe2zF`|1|False|`Hunter`|`2017-05-11T15:01:37Z`|`2017-05-05`|183228|`3caMfJGFp53NAH2TuigdNj`|`single`|`day`|`nghokui`
37|0|`Coloring Outside The Lines`|`6inWzeLNgDGkjToc2t76UV`|1|True|`Coloring Outside The Lines`|`2017-05-12T11:25:08Z`|`2017-05-12`|231346|`4yweVeiVhklj00DRKcQi9z`|`single`|`day`|`nghokui`
38|72|`Feel Good (feat. Daya)`|`1fP5UnRB0WNWNHSZRHsRCR`|1|False|`Feel Good (feat. Daya)`|`2017-05-12T20:02:16Z`|`2017-03-03`|248156|`0Ev562zA4pmUsBqjxsxxdx`|`single`|`day`|`nghokui`
39|1|`Wildcard`|`6FSu5DBu8ttSI7y9k7ur3v`|1|False|`Wildcard`|`2017-05-18T14:47:19Z`|`2017-04-04`|195251|`4TcSvASmTs7HICEY6is1iX`|`single`|`day`|`nghokui`
40|0|`Sound of Walking Away`|`6D2mykCImJS2ujGbE9jt8h`|1|False|`Sound of Walking Away`|`2017-05-19T13:32:36Z`|`2017-04-24`|253333|`3t3oNm7M0HXf7ILqA7vCTP`|`single`|`day`|`nghokui`
41|1|`Light`|`0CIeTsfxL0sGALv13QrcuE`|1|False|`Light`|`2017-05-19T20:21:06Z`|`2016-11-22`|240500|`74Ru27B7Jx8mBt5MGvGLLv`|`single`|`day`|`nghokui`
42|6|`XO TOUR Llif3`|`4CZVGlURM8vncG4ftZULTS`|1|True|`XO TOUR Llif3`|`2017-05-22T19:10:12Z`|`2017-03-24`|182706|`2eMwDehkIC1j68U6FA3Eiq`|`single`|`day`|`nghokui`
43|80|`Everybody`|`1HiN2YXZcc3EjmVZ4WjfBk`|13|True|`1-800-273-8255`|`2017-05-22T19:42:21Z`|`2017-05-05`|250173|`5tz69p7tJuGPeMGwNTxYuV`|`album`|`day`|`nghokui`
44|0|`Kill Jill`|`71tBINhopdR5mLZuLWmmje`|1|True|`Kill Jill`|`2017-05-24T18:31:39Z`|`2017`|266856|`0rU1aBF8cQ8xS3H25qWuMz`|`single`|`year`|`nghokui`
45|0|`Unforgettable (Spanish Remix)`|`783qhI7n8aTG2qkKLC6uoT`|1|False|`Unforgettable (Spanish Remix)`|`2017-05-26T02:21:02Z`|`2017-05-16`|235807|`4iFTKFNULHYkZA4N9Oc8JV`|`single`|`day`|`nghokui`
46|0|`Strangers`|`68zB2NrjM9Wixy0PiZsSKi`|1|False|`Strangers`|`2017-05-26T13:31:56Z`|`2017-05-26`|221205|`4C5ewaZ05vyXM23jFJdwd4`|`single`|`day`|`nghokui`
47|60|`Party On The West Coast (feat. Snoop Dogg)`|`3PK9NEwsFsE1YIzq9XFWiN`|1|True|`Party On The West Coast (feat. Snoop Dogg)`|`2017-06-01T20:01:53Z`|`2017-05-21`|233076|`45OfR7ugJMgbFDuNOVpIq3`|`single`|`day`|`nghokui`
48|58|`Stay With You`|`2wwVAygeZXKnTfkPB071Nj`|1|False|`Stay With You`|`2017-06-01T20:02:00Z`|`2017-05-26`|211670|`7q8jJ1XZEliBakZSUMFde5`|`single`|`day`|`nghokui`
49|0|`Know No Better`|`2CowvoLKMTquFbyMnVp0Va`|6|False|`Know No Better`|`2017-06-03T13:48:16Z`|`2017-06-02`|225849|`3t3jU09SpgdtvSWX4VlDtQ`|`single`|`day`|`nghokui`
50|49|`Aloha`|`0N7Gsf3ENH7bPbUZDRCYOQ`|6|False|`Aloha`|`2017-06-03T19:07:21Z`|`2016-04-08`|218400|`4uNDs2TBsv2KX9b4LIxfdt`|`single`|`day`|`nghokui`
51|0|`Childhood Dreams`|`7LSaxznelaAFiLYuDDnYh6`|1|False|`Childhood Dreams`|`2017-06-03T19:22:10Z`|`2017-02-17`|187805|`4y6sUWPw0XzCb8RodaNSPY`|`single`|`day`|`nghokui`
52|47|`New World Pt. 1`|`2Ar8jEA2FlEofQbzLZAcXz`|7|False|`Be There`|`2017-06-09T12:21:21Z`|`2017-06-08`|198822|`7K0pKyU2oYG8TJHXXyEHGy`|`album`|`day`|`nghokui`
53|7|`Glorious (feat. Skylar Grey)`|`10iHTF2aisP5CLUPH4jqVf`|1|True|`Glorious (feat. Skylar Grey)`|`2017-06-15T19:23:39Z`|`2017-06-15`|220454|`3HVr6jTVwBHBa2flM0eURR`|`single`|`day`|`nghokui`
54|9|`Overnight`|`4j3sdOtrUvam9EaehRzi6B`|1|False|`Overnight`|`2017-06-24T12:10:31Z`|`2017-06-21`|219602|`1kgws2l8gsvDhtsVyzWbu9`|`single`|`day`|`nghokui`
55|63|`Get Low (with Liam Payne)`|`0gmjYisnPhgbCL1HNfSc7O`|1|False|`Get Low (with Liam Payne)`|`2017-07-06T13:59:04Z`|`2017-07-06`|204583|`2syQ0f4SAQdzvlAewPl1DJ`|`single`|`day`|`nghokui`
56|62|`All My Love (feat. Conor Maynard)`|`3c34znQ8KmjMluK6X4FVsV`|1|False|`All My Love (feat. Conor Maynard)`|`2017-07-07T13:21:15Z`|`2017-07-07`|191330|`1839RWzPRZCVgvamu4sHSN`|`single`|`day`|`nghokui`
57|54|`Little Do You Know`|`5do9Fx2lflBZzxgup2xbTQ`|1|False|`Little Do You Know`|`2017-07-15T18:04:29Z`|`2017-05-05`|168680|`5lIat5pyge2yKkV20FlgQ7`|`single`|`day`|`nghokui`
58|43|`We Are One`|`4Rf3OutAzMWW5e1Z0YLHbv`|1|False|`We Are One`|`2017-08-09T20:03:36Z`|`2017-07-25`|202500|`6xQvK7tPkhBzLdcCdJ0N73`|`single`|`day`|`nghokui`
59|66|`Feels (feat. Pharrell Williams, Katy Perry & Big Sean)`|`52LQhrLLYOup9HhaOsv54e`|1|True|`Feels (feat. Pharrell Williams, Katy Perry & Big Sean)`|`2017-07-06T20:17:59Z`|`2017-06-16`|223413|`6BaCraQ9xeLYg4Sb9TBT2X`|`single`|`day`|`nghokui`
60|65|`Feel It Still`|`2fbps64P1Z4EEktydBn9yZ`|1|False|`Feel It Still`|`2017-07-16T21:04:00Z`|`2017-03-02`|163250|`7FESgYLcOufHqKlwrvJN60`|`single`|`day`|`nghokui`
61|69|`Be Mine`|`3tD94EmwfRLAX1SaZQvDhC`|1|False|`Be Mine`|`2017-07-18T16:46:20Z`|`2016-11-25`|161322|`2KklXplRtxMsBYo474Es0w`|`single`|`day`|`nghokui`
62|47|`The Rhythm of the Night (Corti & LaMedica Remix 2k13)`|`3GEOCpbteGFTrwedMSbX25`|2|False|`The Rhythm of the Night - Corti & LaMedica Remix 2K13 Radio Edit`|`2017-08-09T19:57:40Z`|`2013-09-27`|189845|`1WeJVNCp2sWDnnXpAJZnDo`|`single`|`day`|`nghokui`
63|77|`True Believers`|`6cowf7fdb5dgKoglTekOK8`|12|False|`Wagon Wheel`|`2017-08-11T01:28:43Z`|`2013-01-01`|298373|`3xdjjKMcMOFgo1eQrfbogM`|`album`|`day`|`nghokui`
64|17|`AVĪCI (01)`|`6LaLU27ZPXimJIbpbiOahr`|6|True|`Without You (feat. Sandro Cavazza)`|`2017-08-11T15:39:32Z`|`2017-08-10`|181672|`6WbADFqMvR8N5u0BvtsWQE`|`single`|`day`|`nghokui`
65|57|`Palomino`|`5sT4iQKiMLVJvOQKPVxn62`|12|False|`Wait so Long`|`2017-08-11T17:28:13Z`|`2010-04-13`|206400|`1QesQ27kCWYTYuXJi8SApS`|`album`|`day`|`nghokui`
66|52|`Where Is My Mind?`|`7vH2fXhej1rubfAOvqwECV`|1|False|`Where Is My Mind?`|`2017-08-11T17:28:13Z`|`2011-10-07`|210628|`2dJrn376fJPUCj1f4txnRQ`|`single`|`day`|`nghokui`
67|81|`Pablo Honey`|`6400dnyeDyD2mIFHfkwHXN`|12|True|`Creep`|`2017-08-11T17:28:21Z`|`1993-02-22`|238640|`6b2oQwSGFkzsMtQruIWm2p`|`album`|`day`|`nghokui`
68|10|`"Awaken, My Love!"`|`4xnq1L6P551Qcb9gBXNMK7`|11|True|`Redbone`|`2017-08-13T06:42:21Z`|`2016-12-02`|326933|`3kxfsdsCpFgN412fpnW85Y`|`album`|`day`|`nghokui`
69|66|`Would You Ever`|`2czvZrAe1DWj6uc4iOqtJX`|1|False|`Would You Ever`|`2017-08-30T14:42:26Z`|`2017-07-26`|234285|`57p8CBvPOxrvyCbn6ttl5r`|`single`|`day`|`nghokui`
70|0|`All My Love (feat. Conor Maynard) [Sagan Remix]`|`4urun8xB8W0dL4aGKqCJ2B`|1|False|`All My Love (feat. Conor Maynard) - Sagan Remix`|`2017-08-30T15:03:09Z`|`2017-08-18`|204375|`0cQdRncPu2fkaVc6lT0fCY`|`single`|`day`|`nghokui`
71|52|`Crawl Outta Love`|`1QgBdCdPWnE9cL7pm5GJLX`|1|True|`Crawl Outta Love`|`2017-09-01T17:00:09Z`|`2017-08-07`|242011|`6vWk151OrbHfKe4D6Z6tdV`|`single`|`day`|`nghokui`
72|5|`Look What You Made Me Do`|`7qqYU64i563QXANa6vpkSr`|1|False|`Look What You Made Me Do`|`2017-09-05T13:58:38Z`|`2017-08-24`|211859|`6uFsE1JgZ20EXyU0JQZbUR`|`single`|`day`|`nghokui`
73|70|`Your Song`|`6lrm01OVZZVmarH2XLSAXZ`|1|False|`Your Song`|`2017-09-05T23:10:29Z`|`2017-05-25`|180757|`4c2W3VKsOFoIg2SFaO6DY5`|`single`|`day`|`nghokui`
74|3|`Sorry Not Sorry`|`04IMrSQ7UxeYBDWAUf5HMc`|1|True|`Sorry Not Sorry`|`2017-09-06T17:51:17Z`|`2017-07-11`|203760|`25C5CowdsfXld2jJanbiex`|`single`|`day`|`nghokui`
75|2|`...Ready For It?`|`0HG8fMDhvN2tH5uPHFsyZP`|1|False|`...Ready For It?`|`2017-09-09T22:01:52Z`|`2017-09-03`|208198|`7zgqtptZvhf8GEmdsM2vp2`|`single`|`day`|`nghokui`
76|77|`Joanne (Deluxe)`|`2ZUwFxlWo0gwTsvZ6L4Meh`|14|False|`Million Reasons`|`2017-09-12T17:05:54Z`|`2016-10-21`|205280|`7dZ1Odmx9jWIweQSatnRqo`|`album`|`day`|`nghokui`
77|7|`rockstar`|`1YCRXKLDRB0UnbrFUJ4F6e`|1|True|`rockstar`|`2017-09-15T23:28:11Z`|`2017-09-15`|218320|`1OmcAT5Y8eg5bUPv9qJT4R`|`single`|`day`|`nghokui`
78|0|`Good Old Days (feat. Kesha)`|`3tyPXSsaK7gT7GmaDgIlNf`|1|False|`Good Old Days (feat. Kesha)`|`2017-09-19T20:22:01Z`|`2017-09-19`|240506|`3vGmmVqWM33agHxB19EcAi`|`single`|`day`|`nghokui`
79|72|`HUMBLE. (SKRILLEX REMIX)`|`1X4aaOIXvs6gWtQZQpln4V`|1|True|`HUMBLE. - SKRILLEX REMIX`|`2017-09-29T13:10:46Z`|`2017-09-29`|156800|`65ES1qwOB577ZnTkizMXJJ`|`single`|`day`|`nghokui`
80|11|`Alone`|`2v4Crisjd4sT782Jvn7ISC`|1|False|`Alone`|`2017-09-29T22:09:41Z`|`2016-05-13`|273802|`12mGwph2YzDIlChtq3EdXP`|`single`|`day`|`nghokui`
81|0|`Bear Claws`|`6CDjBi7a6HgxDsu690uXld`|1|False|`Bear Claws`|`2017-10-04T02:26:59Z`|`2017-07-07`|214711|`6mz4ovKdmCZaxCh7kW596H`|`single`|`day`|`nghokui`
82|79|`Dookie`|`4uG8q3GPuWHQlRbswMIRS6`|15|False|`Basket Case`|`2017-10-04T21:10:28Z`|`1994-02-01`|181533|`6L89mwZXSOwYl76YXfX13s`|`album`|`day`|`nghokui`
83|2|`Nobody Compares To You`|`3VEooOSpoFi7wCsgldo22o`|1|False|`Nobody Compares To You`|`2017-10-06T13:35:45Z`|`2017-10-06`|231383|`0W363qrIc4GwuwOqa0WAEO`|`single`|`day`|`nghokui`
84|65|`American Idiot`|`5dN7F9DV0Qg1XRdIgW8rke`|9|True|`Jesus of Suburbia`|`2017-10-06T18:21:10Z`|`2004-09-21`|548253|`58KPPL1AdLHMvR2O2PZejr`|`album`|`day`|`nghokui`
85|71|`Riot!`|`71rziY9eLo1tA2dBMxrwhc`|12|False|`Misery Business`|`2017-10-14T17:08:20Z`|`2007-06-11`|211520|`6SpLc7EXZIPpy0sVko0aoU`|`album`|`day`|`nghokui`
86|56|`Big Fish Theory`|`5h3WJG0aZjNOrayFu3MhCS`|12|True|`BagBak`|`2017-10-16T13:45:58Z`|`2017-06-23`|160506|`5POEFQCKtD0QxYLfZ2kqEx`|`album`|`day`|`nghokui`
87|74|`Paramore`|`4sgYpkIASM1jVlNC8Wp9oF`|17|False|`Still into You`|`2017-10-17T13:03:37Z`|`2013-04-05`|216013|`1yjY7rpaAQvKwpdUliHx0d`|`album`|`day`|`nghokui`
88|2|`Kids in Love`|`2UuRNlwyxoor7VUptmSyaG`|1|False|`Kids in Love`|`2017-10-20T13:50:31Z`|`2017-10-20`|262458|`2UxfcZJCphbEkfbZ6nLiDx`|`single`|`day`|`nghokui`
89|57|`You & Me`|`6jIP06Mnn1F8hKCGraPkU7`|1|False|`You & Me`|`2017-10-23T13:29:02Z`|`2017-10-20`|190769|`6TdweeWiGv35hKXn3tARjA`|`single`|`day`|`nghokui`
90|29|`Blaze It Up`|`3nB5R5wBFXVJoZRNRFRlXg`|1|False|`Blaze It Up`|`2017-11-01T15:16:04Z`|`2017-09-22`|185225|`5qvGIVwLPiqAyJuohXwvSM`|`single`|`day`|`nghokui`
91|3|`Kids in Love`|`5PwJQShNbsoWSKZ9VPEHTY`|8|False|`Riding Shotgun (feat. Bonnie McKee)`|`2017-11-03T13:46:23Z`|`2017-11-03`|198280|`41W4YKwP7DPxoplPA2U0PW`|`album`|`day`|`nghokui`
92|79|`Wolves`|`5gQZvWM1o8NkQndueJtZcP`|1|False|`Wolves`|`2017-11-03T20:51:46Z`|`2017-10-25`|197993|`0tBbt8CrmxbjRP0pueQkyU`|`single`|`day`|`nghokui`
93|79|`Silence`|`2bw00gRKNKbTFOqCkohbSh`|1|False|`Silence`|`2017-11-03T20:51:54Z`|`2017-08-11`|180822|`7vGuf3Y35N4wmASOKLUVVU`|`single`|`day`|`nghokui`
94|0|`On Our Way Home`|`49HWbz35qVrBZuSdjTsfFm`|5|False|`On Our Way Home`|`2017-11-10T15:21:43Z`|`2017-11-10`|183844|`0CFDp4qPqkbFObEH3p45x3`|`single`|`day`|`nghokui`
95|58|`What If Nothing`|`4fe1YmssM6Ugs6UyA7OdGg`|13|False|`Kamikaze`|`2017-11-10T15:24:55Z`|`2017-11-10`|196533|`3YQ96qkxiEwTLwgu2Izcmq`|`album`|`day`|`nghokui`
96|35|`Juice`|`5slTXky2un9t3JPmeZnUXX`|1|True|`Juice`|`2017-11-10T15:27:24Z`|`2017-11-07`|196488|`7dlwZmyBmzUbhDsgiXHGMW`|`single`|`day`|`nghokui`
97|76|`Led Zeppelin III (Remastered)`|`6P5QHz4XtxOmS5EuiGIPut`|10|False|`Immigrant Song - Remaster`|`2017-11-13T20:24:32Z`|`1970`|146250|`78lgmZwycJ3nzsdgmPPGNx`|`album`|`year`|`nghokui`
98|63|`Chapter One`|`5F00Gf428CfhyD0TGxAZFi`|14|False|`Closer`|`2017-11-18T23:57:35Z`|`2017-06-02`|270589|`3h5IIiL9vK5aR0DZO6jD7D`|`album`|`day`|`nghokui`
99|25|`Major Lazer Presents: Give Me Future (Music From & Inspired by the Film)`|`0EVz6QaayJCqmsuT9Y0P1p`|13|False|`Get It Right (feat. MØ)`|`2017-11-21T14:05:17Z`|`2017-11-17`|172500|`4utgozKpeqZA18lFCcg70Q`|`compilation`|`day`|`nghokui`
100|0|`Type Of Way`|`0WioYI2iYPlrJFlc94RH31`|1|False|`Type Of Way`|`2017-11-21T14:12:28Z`|`2017-11-17`|179648|`4QxC6CwjknnEv3pmdDflqY`|`single`|`day`|`nghokui`
101|58|`Hola (feat. Maluma)`|`02ftf7zI3U5fJ5GwyE8JC9`|1|False|`Hola (feat. Maluma)`|`2017-11-21T14:56:13Z`|`2017-11-17`|192376|`6ayTAnEwP3Yo4DOjLsN5r2`|`single`|`day`|`nghokui`
102|25|`Never Be the Same`|`0Qoilkt1L6Do1In2oVOpDO`|1|False|`Never Be the Same`|`2017-11-21T15:09:13Z`|`2017-11-17`|193427|`1ZvykrNUPMZ4cNwGTcK5NB`|`single`|`day`|`nghokui`
103|41|`Never Say Goodbye`|`6xFpIEFIAyQyiFmrOgzh3D`|1|False|`Never Say Goodbye - Radio Edit`|`2017-11-24T19:05:39Z`|`2013-06-21`|204942|`2B8eAzF1rlTOLynq5zgXsG`|`single`|`day`|`nghokui`
104|39|`Feel It Still (Gryffin Remix)`|`3LJm7YCXvVP04Ojiojpunz`|1|False|`Feel It Still - Gryffin Remix`|`2017-11-24T21:30:23Z`|`2017-09-29`|184355|`4yeWP0EabOteKT2MzPyeJ8`|`single`|`day`|`nghokui`
105|17|`Havana`|`5chBPOVY2I0bG5V3igb5QL`|1|False|`Havana`|`2017-11-24T21:33:28Z`|`2017-08-03`|216896|`0ofbQMrRDsUaVKq2mGLEAb`|`single`|`day`|`nghokui`
106|61|`A Moment Apart`|`3VzsvmhnUb9OZ59bq2aoNZ`|16|False|`Falls (feat. Sasha Sloan)`|`2017-11-25T00:09:53Z`|`2017-09-08`|232936|`6oNZ0WxqptE7V0qpjtyJ4a`|`album`|`day`|`nghokui`
107|56|`Contact`|`7qCZ7hu4uJKHGAbQvdBgVG`|1|False|`Contact`|`2017-11-25T00:11:51Z`|`2017-08-18`|141875|`2IQB5iBapo0Y37Yc0PtIZc`|`single`|`day`|`nghokui`
108|46|`Fall At Your Feet`|`7wzFXeLpF8yOgndqRWt7fC`|1|False|`Fall At Your Feet`|`2017-11-25T00:16:04Z`|`2017-09-08`|202640|`3FCQTUlUHhSKjo6CLF2DhF`|`single`|`day`|`nghokui`
109|64|`Dirty Sexy Money (feat. Charli XCX & French Montana)`|`613u1KxcevDq5Kd8j0zD2U`|1|True|`Dirty Sexy Money (feat. Charli XCX & French Montana)`|`2017-11-28T18:15:07Z`|`2017-11-02`|172687|`0tPQPaOKM32WgMSbPCYyRH`|`single`|`day`|`nghokui`
110|56|`Something Just Like This (Remix Pack)`|`4uRfYhBBaSX8N3amojmMBE`|6|False|`Something Just Like This - Alesso Remix`|`2017-11-28T20:43:26Z`|`2017-04-28`|252933|`50RJdoxw8iajGNtHQe6QeS`|`single`|`day`|`nghokui`
111|53|`So Long (feat. Madi)`|`7DGYrxmgYPEnsnKxP78n5F`|1|False|`So Long (feat. Madi)`|`2017-12-12T16:05:14Z`|`2016-07-29`|178767|`7ppz0b5ecGXM8xHg5yGDhK`|`single`|`day`|`nghokui`
